Image,S1,S2,S3,S4,S5,S6,S7,Labels,Set
IMG (1).png,0.000767928950178423,3.346880634839086e-08,2.774004260109729e-13,2.2937852081402207e-12,-1.6883041881732122e-24,3.421375076605611e-16,7.05318478827955e-25,1,train
IMG (10).png,0.0007676912205403298,3.348903820481874e-08,2.8358413281618844e-13,2.287728122482323e-12,-1.70391089562189e-24,3.417796329221735e-16,7.015130929889329e-25,1,train
IMG (11).png,0.0007679466609876105,3.342523632871275e-08,2.747628458791581e-13,2.3051524517217227e-12,-1.6883651153939968e-24,3.4355173888804673e-16,7.176213116405883e-25,1,train
IMG (12).png,0.0007683049040592561,3.349608562533884e-08,2.856763832257239e-13,2.3023405022030053e-12,-1.721032698359694e-24,3.4396701308466327e-16,7.242188242268196e-25,1,train
IMG (13).png,0.0007660968780299916,3.454225803394944e-08,4.914404053250594e-13,2.3271120099304686e-12,-2.2256504203602595e-24,3.8743356108941816e-16,1.1134580555869472e-24,1,train
IMG (14).png,0.0007679883185661101,3.350902411528614e-08,2.80500040949501e-13,2.290969300455421e-12,-1.6875181187111505e-24,3.4092825788852397e-16,7.246266297307497e-25,1,train
IMG (15).png,0.0007728155200923818,3.47738794421874e-08,1.534835527234915e-13,2.568782198186911e-12,-1.5633791459228263e-24,3.9477560253577956e-16,3.9681812506526594e-25,1,train
IMG (16).png,0.0007679005957756744,3.340987760135601e-08,2.713935845087806e-13,2.3016928082195613e-12,-1.6520622642736439e-24,3.4157012058968435e-16,7.615985409430684e-25,1,train
IMG (17).png,0.0007726933832712843,3.4703059499754804e-08,1.7905269215168657e-13,2.5377258307074513e-12,-1.6427710120554373e-24,3.8689653690606876e-16,4.770505027127021e-25,1,train
IMG (18).png,0.0007730330618489658,3.472432731625548e-08,1.548229249838013e-13,2.563697043040279e-12,-1.5556901509907708e-24,3.892128214557661e-16,4.342760121848397e-25,1,train
